tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
84796,Permitted Site,Lophostemon confertus :: Brisbane Box,310 Townsend St,5.0,Sidewalk: Curb side : Cutout,Private,2007-03-13,,,37.7769567164019,-122.39530430123502
87956,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,3250 Broderick St,2.0,Sidewalk: Curb side : Cutout,Private,2008-06-19,,3x3,37.800457616115,-122.44449703515
108508,Permitted Site,Leptospermum scoparium 'Ruby Glow' :: New Zealand Ruby Glow Tea Tree,1617 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2014-12-23,3.0,3x3,37.757749863741104,-122.47374214623301
84647,DPW Maintained,Maytenus boaria :: Mayten,634 27th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2008-01-11,5.0,3x3,37.777369317795205,-122.48661321871
33878,Permitted Site,Lophostemon confertus :: Brisbane Box,100 Bush St,7.0,Sidewalk: Curb side : Cutout,Private,1997-03-03,,,37.79139254050121,-122.399621455512
48693,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,722 Broderick St,1.0,Sidewalk: Curb side : Cutout,Private,2003-08-25,4.0,3x3,37.7773254106094,-122.43989931071
27476,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,4651 California St,1.0,Sidewalk: Curb side : Cutout,DPW,2001-01-26,8.0,3X3,37.784600867304604,-122.46756643200399
87568,Permitted Site,Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,1590X Vallejo St,4.0,Sidewalk: Curb side : Cutout,Private,2012-08-07,24.0,3x3,37.7969580495509,-122.423274742897
66093,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1052 Filbert St,1.0,Sidewalk: Curb side : Cutout,Private,1990-08-08,16.0,,37.8004974059005,-122.41689421958799
159345,DPW Maintained,Lagunaria patersonii :: Primrose Tree,461 Ellington Ave,1.0,Sidewalk: Curb side : Cutout,Private,2017-10-05,3.0,Width 0ft,37.7113049331395,-122.447802205131
98410,Permitted Site,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,55 19th Ave,2.0,Sidewalk: Curb side :,Private,2012-02-09,,,37.7623049568555,-122.477404745944
42605,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2531 Gough St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,6.0,,37.797013406208,-122.427132169235
66300,Permitted Site,Olea europaea :: Olive Tree,602 Filbert St,1.0,Sidewalk: Curb side : Cutout,Private,1995-08-26,,,37.801431339409,-122.40946389432101
25796,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,800X The Embarcadero,10.0,Median : Cutout,Port,1996-08-30,36.0,10,37.80156586089179,-122.399803052325
